
Start model fitting <fastai.learner.Learner object at 0x2b0fb3ba4e20>
epoch     train_loss  valid_loss  dice      iou       recall    precision  time
























































































































































Generating deformation field
Generating value augmentation function
0         0.907262    0.802284    0.809229  0.679584  0.858355  0.765422   10:16
Better model found at epoch 0 with dice value: 0.8092291824552792.

























































































































































Generating deformation field
Generating value augmentation function
1         0.223064    0.228099    0.905324  0.827025  0.887922  0.923422   10:25
Better model found at epoch 1 with dice value: 0.9053239938321042.

























































































































































Generating deformation field
Generating value augmentation function
2         0.122810    0.120284    0.923102  0.857187  0.918977  0.927265   10:33
Better model found at epoch 2 with dice value: 0.9231023282503222.


























































































































































Generating deformation field
Generating value augmentation function
3         0.099377    0.112004    0.915049  0.843402  0.911491  0.918636   09:45

























































































































































Generating deformation field
Generating value augmentation function
4         0.093897    0.094468    0.924544  0.859677  0.922290  0.926810   09:59
Better model found at epoch 4 with dice value: 0.9245443427020447.

























































































































































Generating deformation field
Generating value augmentation function
5         0.089659    0.103701    0.914876  0.843107  0.885777  0.945951   10:19

























































































































































Generating deformation field
Generating value augmentation function
6         0.085058    0.103077    0.916901  0.846554  0.886399  0.949578   09:51

























































































































































Generating deformation field
Generating value augmentation function
7         0.082411    0.091046    0.926321  0.862755  0.910771  0.942412   10:35
Better model found at epoch 7 with dice value: 0.9263214147120865.

























































































































































Generating deformation field
Generating value augmentation function
8         0.080034    0.093229    0.924816  0.860146  0.905707  0.944748   10:15

























































































































































Generating deformation field
Generating value augmentation function
9         0.079339    0.093654    0.924837  0.860182  0.906612  0.943809   10:22
Saving Model
Traceback (most recent call last):
  File "/geode2/home/u090/soodn/Carbonate/ccf-research-kaggle-2021/models/5-Deepflash2/Deepflash2-Train-Colon.py", line 560, in <module>
    torch.save(state, f'models_kidney/unet_{cfg.encoder_name}_{i}.pth', pickle_protocol=2, _use_new_zipfile_serialization=False)
  File "/N/soft/rhel7/deeplearning/Python-3.9.6/lib/python3.9/site-packages/torch/serialization.py", line 376, in save
    with _open_file_like(f, 'wb') as opened_file:
  File "/N/soft/rhel7/deeplearning/Python-3.9.6/lib/python3.9/site-packages/torch/serialization.py", line 230, in _open_file_like
    return _open_file(name_or_buffer, mode)
  File "/N/soft/rhel7/deeplearning/Python-3.9.6/lib/python3.9/site-packages/torch/serialization.py", line 211, in __init__
    super(_open_file, self).__init__(open(name, mode))
FileNotFoundError: [Errno 2] No such file or directory: 'models_kidney/unet_efficientnet-b2_0.pth'
